name,maintainers,license,repository,repoName,urlWorks
debug,qix thebigredgeek tootallnate tjholowaychuk,MIT,github.com/visionmedia/debug,debug,1
semver,nlf ruyadorno darcyclarke isaacs,ISC,github.com/npm/node-semver,node-semver,1
supports-color,sindresorhus qix,MIT,github.com/chalk/supports-color,supports-color,1
ms,elsigh leerobinson hankvercel okbel samsisle cleishm nazarenooviedo chibicode gielcobben jaredpalmer jkrems prateekbh kikobeats gmonaco housseindjirdeh developit spanicker keanulee atcastle janicklas-ralph skllcrn paco guybedford ragojose williamli msweeneydev coetry rabaut lfades mfix22 ijjk arzafran umegaya timer anatrajkovska paulogdm andybitz mglagola lucleray zeit-bot styfle juancampa dav-is quietshu joecohens codetheory matheuss igorklopov leo nkzawa tootallnate rauchg timneutkens javivelasco iamevilrabbit,MIT,github.com/vercel/ms,ms,1
kind-of,doowb jonschlinkert,MIT,github.com/jonschlinkert/kind-of,kind-of,1
chalk,qix sindresorhus,MIT,github.com/chalk/chalk,chalk,1
ansi-regex,qix sindresorhus,MIT,github.com/chalk/ansi-regex,ansi-regex,1
strip-ansi,qix sindresorhus,MIT,github.com/chalk/strip-ansi,strip-ansi,1
source-map,ejpbruel mozilla mozilla-devtools nickfitzgerald tromey,BSD-3-Clause,github.com/mozilla/source-map,source-map,1
string-width,sindresorhus,MIT,github.com/sindresorhus/string-width,string-width,1
readable-stream,cwmma isaacs matteo.collina nodejs-foundation rvagg tootallnate,MIT,github.com/nodejs/readable-stream,readable-stream,1
ansi-styles,sindresorhus qix,MIT,github.com/chalk/ansi-styles,ansi-styles,1
get-stream,sindresorhus,MIT,github.com/sindresorhus/get-stream,get-stream,1
commander,zhiyelee somekittens tjholowaychuk vanesyan shadowspawn abetomo,MIT,github.com/tj/commander.js,commander.js,1
find-up,sindresorhus,MIT,github.com/sindresorhus/find-up,find-up,1
inherits,isaacs,ISC,github.com/isaacs/inherits,inherits,1
safe-buffer,feross mafintosh,MIT,github.com/feross/safe-buffer,safe-buffer,1
qs,nlf ljharb,BSD-3-Clause,github.com/ljharb/qs,qs,1
has-flag,sindresorhus,MIT,github.com/sindresorhus/has-flag,has-flag,1
yargs,bcoe oss-bot,MIT,github.com/yargs/yargs,yargs,1
is-fullwidth-code-point,sindresorhus,MIT,github.com/sindresorhus/is-fullwidth-code-point,is-fullwidth-code-point,1
camelcase,sindresorhus,MIT,github.com/sindresorhus/camelcase,camelcase,1
yargs-parser,bcoe nexdrew oss-bot,ISC,github.com/yargs/yargs-parser,yargs-parser,1
define-property,doowb jonschlinkert,MIT,github.com/jonschlinkert/define-property,define-property,1
punycode,mathias reconbot,MIT,github.com/bestiejs/punycode.js,punycode.js,1
string_decoder,cwmma matteo.collina nodejs-foundation rvagg substack,MIT,github.com/nodejs/string_decoder,string_decoder,1
type-fest,sindresorhus,(MI,github.com/sindresorhus/type-fest,type-fest,1
p-locate,sindresorhus,MIT,github.com/sindresorhus/p-locate,p-locate,1
locate-path,sindresorhus,MIT,github.com/sindresorhus/locate-path,locate-path,1
color-convert,qix,MIT,github.com/Qix-/color-convert,color-convert,1
color-name,dfcreative,MIT,github.com/colorjs/color-name,color-name,1
postcss-value-parser,beneb trysound,MIT,github.com/TrySound/postcss-value-parser,postcss-value-parser,1
rimraf,isaacs,ISC,github.com/isaacs/rimraf,rimraf,1
cross-spawn,satazor,MIT,github.com/moxystudio/node-cross-spawn,node-cross-spawn,1
isarray,juliangruber,MIT,github.com/juliangruber/isarray,isarray,1
ajv,blakeembrey esp,MIT,github.com/ajv-validator/ajv,ajv,1
p-limit,sindresorhus,MIT,github.com/sindresorhus/p-limit,p-limit,1
tslib,typescript-bot weswigham sanders_n andrewbranch minestarks rbuckton sheetalkamat orta typescript-deploys,0BSD,github.com/Microsoft/tslib,tslib,1
wrap-ansi,bcoe qix sindresorhus,MIT,github.com/chalk/wrap-ansi,wrap-ansi,1
lru-cache,isaacs,ISC,github.com/isaacs/node-lru-cache,node-lru-cache,1
lodash,mathias jdalton bnjmnt4n,MIT,github.com/lodash/lodash,lodash,1
acorn,marijn adrianheine rreverser,MIT,github.com/acornjs/acorn,acorn,1
@types/node,types,MIT,github.com/DefinitelyTyped/DefinitelyTyped,DefinitelyTyped,1
yallist,isaacs,ISC,github.com/isaacs/yallist,yallist,1
mkdirp,isaacs,MIT,github.com/isaacs/node-mkdirp,node-mkdirp,1
make-dir,sindresorhus,MIT,github.com/sindresorhus/make-dir,make-dir,1
cliui,bcoe oss-bot,ISC,github.com/yargs/cliui,cliui,1
is-number,doowb jonschlinkert realityking,MIT,github.com/jonschlinkert/is-number,is-number,1
extend-shallow,phated jonschlinkert,MIT,github.com/jonschlinkert/extend-shallow,extend-shallow,1
parse-json,sindresorhus,MIT,github.com/sindresorhus/parse-json,parse-json,1
resolve-from,sindresorhus,MIT,github.com/sindresorhus/resolve-from,resolve-from,1
fs-extra,jprichardson ryanzim manidlou,MIT,github.com/jprichardson/node-fs-extra,node-fs-extra,1
minimist,emilbayes substack,MIT,github.com/substack/minimist,minimist,1
tough-cookie,awaterma jstash ruoho,BSD-3-Clause,github.com/salesforce/tough-cookie,tough-cookie,1
mime,bentomas broofa,MIT,github.com/broofa/mime,mime,1
pkg-dir,sindresorhus,MIT,github.com/sindresorhus/pkg-dir,pkg-dir,1
path-type,sindresorhus,MIT,github.com/sindresorhus/path-type,path-type,1
execa,sindresorhus ehmicky,MIT,github.com/sindresorhus/execa,execa,1
async,aearly beaugunderson caolan hargasinski megawac,MIT,github.com/caolan/async,async,1
json5,jordanbtucker aseemk,MIT,github.com/json5/json5,json5,1
fsevents,pipobscure paulmillr,MIT,github.com/fsevents/fsevents,fsevents,1
emoji-regex,mathias google-wombot,MIT,github.com/mathiasbynens/emoji-regex,emoji-regex,1
postcss,ai,MIT,github.com/postcss/postcss,postcss,1
resolve,ljharb substack,MIT,github.com/browserify/resolve,resolve,1
braces,doowb es128 jonschlinkert,MIT,github.com/micromatch/braces,braces,1
is-glob,doowb jonschlinkert phated,MIT,github.com/micromatch/is-glob,is-glob,1
http-errors,dougwilson egeste jongleberry,MIT,github.com/jshttp/http-errors,http-errors,1
escape-string-regexp,sindresorhus,MIT,github.com/sindresorhus/escape-string-regexp,escape-string-regexp,1
schema-utils,bebraw sokra michael-ciniawsky d3viant0ne evilebottnawi,MIT,github.com/webpack/schema-utils,schema-utils,1
read-pkg,sindresorhus,MIT,github.com/sindresorhus/read-pkg,read-pkg,1
glob,isaacs,ISC,github.com/isaacs/node-glob,node-glob,1
mime-db,dougwilson,MIT,github.com/jshttp/mime-db,mime-db,1
ws,einaros v1 lpinca 3rdeden,MIT,github.com/websockets/ws,ws,1
fill-range,doowb es128 jonschlinkert paulmillr,MIT,github.com/jonschlinkert/fill-range,fill-range,1
glob-parent,phated contra es128 jonschlinkert doowb,ISC,github.com/gulpjs/glob-parent,glob-parent,1
isobject,doowb jonschlinkert trysound,MIT,github.com/jonschlinkert/isobject,isobject,1
micromatch,doowb es128 jonschlinkert,MIT,github.com/micromatch/micromatch,micromatch,1
globby,sindresorhus,MIT,github.com/sindresorhus/globby,globby,1
read-pkg-up,sindresorhus,MIT,github.com/sindresorhus/read-pkg-up,read-pkg-up,1
@babel/types,hzoo loganfsmyth danez existentialism nicolo-ribaudo jlhwung,MIT,github.com/babel/babel,babel,1
is-accessor-descriptor,jonschlinkert,MIT,github.com/jonschlinkert/is-accessor-descriptor,is-accessor-descriptor,1
is-data-descriptor,jonschlinkert,MIT,github.com/jonschlinkert/is-data-descriptor,is-data-descriptor,1
estraverse,constellation michaelficarra nzakas,BSD-2-Clause,github.com/estools/estraverse,estraverse,1
file-type,sindresorhus mifi,MIT,github.com/sindresorhus/file-type,file-type,1
is-descriptor,jonschlinkert,MIT,github.com/jonschlinkert/is-descriptor,is-descriptor,1
pump,mafintosh,MIT,github.com/mafintosh/pump,pump,1
@babel/code-frame,hzoo loganfsmyth danez existentialism nicolo-ribaudo jlhwung,MIT,github.com/babel/babel,babel,1
es-abstract,ljharb,MIT,github.com/ljharb/es-abstract,es-abstract,1
form-data,mikeal niftylettuce alexindigo dylanpiercey,MIT,github.com/form-data/form-data,form-data,1
which,isaacs,ISC,github.com/isaacs/node-which,node-which,1
normalize-path,doowb jonschlinkert phated,MIT,github.com/jonschlinkert/normalize-path,normalize-path,1
is-extendable,doowb jonschlinkert,MIT,github.com/jonschlinkert/is-extendable,is-extendable,1
to-regex-range,doowb jonschlinkert,MIT,github.com/micromatch/to-regex-range,to-regex-range,1
is-stream,sindresorhus,MIT,github.com/sindresorhus/is-stream,is-stream,1
mime-types,dougwilson jongleberry,MIT,github.com/jshttp/mime-types,mime-types,1
anymatch,doowb es128 jonschlinkert paulmillr phated,ISC,github.com/micromatch/anymatch,anymatch,1
fast-deep-equal,esp,MIT,github.com/epoberezkin/fast-deep-equal,fast-deep-equal,1
core-js,zloirock slowcheetah,MIT,github.com/zloirock/core-js,core-js,1
path-key,sindresorhus,MIT,github.com/sindresorhus/path-key,path-key,1
normalize-url,sindresorhus kevva,MIT,github.com/sindresorhus/normalize-url,normalize-url,1
postcss-selector-parser,ai chriseppstein jonathantneal evilebottnawi,MIT,github.com/postcss/postcss-selector-parser,postcss-selector-parser,1
loader-utils,d3viant0ne evilebottnawi jhnns michael-ciniawsky sokra,MIT,github.com/webpack/loader-utils,loader-utils,1
regenerator-runtime,benjamn,MIT,github.com/facebook/regenerator/tree/master/packages/regenerator-runtime,regenerator-runtime,1
extsprintf,dap,MIT,github.com/davepacheco/node-extsprintf,node-extsprintf,1
ignore,kael,MIT,github.com/kaelzhang/node-ignore,node-ignore,1
@babel/parser,hzoo loganfsmyth danez existentialism nicolo-ribaudo jlhwung,MIT,github.com/babel/babel,babel,1
has-values,jonschlinkert,MIT,github.com/jonschlinkert/has-values,has-values,1
has-value,jonschlinkert,MIT,github.com/jonschlinkert/has-value,has-value,1
iconv-lite,ashtuchkin,MIT,github.com/ashtuchkin/iconv-lite,iconv-lite,1
shebang-regex,sindresorhus,MIT,github.com/sindresorhus/shebang-regex,shebang-regex,1
json-schema-traverse,esp,MIT,github.com/epoberezkin/json-schema-traverse,json-schema-traverse,1
shebang-command,kevva,MIT,github.com/kevva/shebang-command,shebang-command,1
strip-bom,sindresorhus,MIT,github.com/sindresorhus/strip-bom,strip-bom,1
buffer,feross,MIT,github.com/feross/buffer,buffer,1
jsesc,mathias,MIT,github.com/mathiasbynens/jsesc,jsesc,1
y18n,bcoe nexdrew oss-bot,ISC,github.com/yargs/y18n,y18n,1
readdirp,paulmillr thlorenz,MIT,github.com/paulmillr/readdirp,readdirp,1
setprototypeof,wesleytodd,ISC,github.com/wesleytodd/setprototypeof,setprototypeof,1
slash,sindresorhus,MIT,github.com/sindresorhus/slash,slash,1
binary-extensions,paulmillr sindresorhus,MIT,github.com/sindresorhus/binary-extensions,binary-extensions,1
doctrine,constellation eslint ivolodin nzakas,Apache-2.0,github.com/eslint/doctrine,doctrine,1
universalify,ryanzim,MIT,github.com/RyanZim/universalify,universalify,1
onetime,sindresorhus,MIT,github.com/sindresorhus/onetime,onetime,1
@babel/runtime,hzoo loganfsmyth danez existentialism nicolo-ribaudo jlhwung,MIT,github.com/babel/babel,babel,1
@babel/generator,hzoo loganfsmyth danez existentialism nicolo-ribaudo jlhwung,MIT,github.com/babel/babel,babel,1
bytes,dougwilson tjholowaychuk,MIT,github.com/visionmedia/bytes.js,bytes.js,1
@babel/highlight,hzoo loganfsmyth danez existentialism nicolo-ribaudo jlhwung,MIT,github.com/babel/babel,babel,1
esprima,ariya,BSD-2-Clause,github.com/jquery/esprima,esprima,1
load-json-file,sindresorhus,MIT,github.com/sindresorhus/load-json-file,load-json-file,1
jsonfile,jprichardson ryanzim,MIT,github.com/jprichardson/node-jsonfile,node-jsonfile,1
browserslist,ai,MIT,github.com/browserslist/browserslist,browserslist,1
is-arrayish,qix,MIT,github.com/qix-/node-is-arrayish,node-is-arrayish,1
@babel/traverse,hzoo loganfsmyth danez existentialism nicolo-ribaudo jlhwung,MIT,github.com/babel/babel,babel,1
npm-run-path,sindresorhus,MIT,github.com/sindresorhus/npm-run-path,npm-run-path,1
mimic-fn,ehmicky sindresorhus,MIT,github.com/sindresorhus/mimic-fn,mimic-fn,1
callsites,sindresorhus,MIT,github.com/sindresorhus/callsites,callsites,1
strip-json-comments,sindresorhus,MIT,github.com/sindresorhus/strip-json-comments,strip-json-comments,1
process-nextick-args,cwmma,MIT,github.com/calvinmetcalf/process-nextick-args,process-nextick-args,1
is-binary-path,es128 paulmillr sindresorhus,MIT,github.com/sindresorhus/is-binary-path,is-binary-path,1
once,isaacs,ISC,github.com/isaacs/once,once,1
ansi-escapes,sindresorhus,MIT,github.com/sindresorhus/ansi-escapes,ansi-escapes,1
import-fresh,sindresorhus,MIT,github.com/sindresorhus/import-fresh,import-fresh,1
js-yaml,vitaly,MIT,github.com/nodeca/js-yaml,js-yaml,1
@babel/helper-plugin-utils,hzoo loganfsmyth danez existentialism nicolo-ribaudo jlhwung,MIT,github.com/babel/babel,babel,1
bn.js,cwmma indutny fanatid jprichardson,MIT,github.com/indutny/bn.js,bn.js,1
p-map,sindresorhus,MIT,github.com/sindresorhus/p-map,p-map,1
js-tokens,lydell,MIT,github.com/lydell/js-tokens,js-tokens,1
core-util-is,isaacs,MIT,github.com/isaacs/core-util-is,core-util-is,1
find-cache-dir,jamestalmage sindresorhus,MIT,github.com/avajs/find-cache-dir,find-cache-dir,1
follow-redirects,rubenverborgh olalonde,MIT,github.com/follow-redirects/follow-redirects,follow-redirects,1
is-buffer,feross,MIT,github.com/feross/is-buffer,is-buffer,1
request,fredkschott mikeal nylen simov,Apache-2.0,github.com/request/request,request,1
indent-string,sindresorhus,MIT,github.com/sindresorhus/indent-string,indent-string,1
@babel/core,hzoo loganfsmyth danez existentialism nicolo-ribaudo jlhwung,MIT,github.com/babel/babel,babel,1
uri-js,garycourt,BSD-2-Clause,github.com/garycourt/uri-js,uri-js,1
object-assign,gaearon sindresorhus spicyj,MIT,github.com/sindresorhus/object-assign,object-assign,1
eslint-scope,eslintbot nzakas ivolodin,BSD-2-Clause,github.com/eslint/eslint-scope,eslint-scope,1
wrappy,isaacs zkat,ISC,github.com/npm/wrappy,wrappy,1
figures,sindresorhus,MIT,github.com/sindresorhus/figures,figures,1
@babel/template,hzoo loganfsmyth danez existentialism nicolo-ribaudo jlhwung,MIT,github.com/babel/babel,babel,1
safer-buffer,chalker,MIT,github.com/ChALkeR/safer-buffer,safer-buffer,1
util,coolaj86 cwmma defunctzombie goto-bus-stop ljharb lukechilds substack,MIT,github.com/browserify/node-util,node-util,1
har-validator,ahmadnassri,MIT,github.com/ahmadnassri/node-har-validator,node-har-validator,1
entities,feedic,BSD-2-Clause,github.com/fb55/entities,entities,1
fast-json-stable-stringify,esp,MIT,github.com/epoberezkin/fast-json-stable-stringify,fast-json-stable-stringify,1
path-to-regexp,blakeembrey dougwilson jonathanong jongleberry defunctzombie,MIT,github.com/pillarjs/path-to-regexp,path-to-regexp,1
minimatch,isaacs,ISC,github.com/isaacs/minimatch,minimatch,1
base64-js,beatgammit feross,MIT,github.com/beatgammit/base64-js,base64-js,1
parse5,inikulin,MIT,github.com/inikulin/parse5,parse5,1
combined-stream,alexindigo apechimp celer felixge,MIT,github.com/felixge/node-combined-stream,node-combined-stream,1
aws4,hichaelmart,MIT,github.com/mhart/aws4,aws4,1
source-map-support,evanw julien-f linusu,MIT,github.com/evanw/node-source-map-support,node-source-map-support,1
util-deprecate,tootallnate,MIT,github.com/TooTallNate/util-deprecate,util-deprecate,1
@babel/helper-validator-identifier,hzoo loganfsmyth danez existentialism nicolo-ribaudo jlhwung,MIT,github.com/babel/babel,babel,1
array-flatten,blakeembrey,MIT,github.com/blakeembrey/array-flatten,array-flatten,1
ieee754,feross,BSD-3-Clause,github.com/feross/ieee754,ieee754,1
is-wsl,sindresorhus,MIT,github.com/sindresorhus/is-wsl,is-wsl,1
rxjs,blesh jeffbcross,Apache-2.0,github.com/reactivex/rxjs,rxjs,1
get-caller-file,stefanpenner,ISC,github.com/stefanpenner/get-caller-file,get-caller-file,1
restore-cursor,sindresorhus,MIT,github.com/sindresorhus/restore-cursor,restore-cursor,1
cli-cursor,sindresorhus,MIT,github.com/sindresorhus/cli-cursor,cli-cursor,1
bluebird,esailija,MIT,github.com/petkaantonov/bluebird,bluebird,1
p-finally,sindresorhus,MIT,github.com/sindresorhus/p-finally,p-finally,1
extend,justmoon ljharb,MIT,github.com/justmoon/node-extend,node-extend,1
cookie,dougwilson,MIT,github.com/jshttp/cookie,cookie,1
through2,bryce rvagg,MIT,github.com/rvagg/through2,through2,1
got,sindresorhus szmarczak,MIT,github.com/sindresorhus/got,got,1
is-extglob,jonschlinkert,MIT,github.com/jonschlinkert/is-extglob,is-extglob,1
psl,lupomontero,MIT,github.com/lupomontero/psl,psl,1
inquirer,sboudrias danielchatfield mischah ruyadorno,MIT,github.com/SBoudrias/Inquirer.js,Inquirer.js,1
assert-plus,mcavage pfmooney,MIT,github.com/mcavage/node-assert-plus,node-assert-plus,1
slice-ansi,qix sindresorhus,MIT,github.com/chalk/slice-ansi,slice-ansi,1
xtend,raynos,MIT,github.com/Raynos/xtend,xtend,1
balanced-match,juliangruber,MIT,github.com/juliangruber/balanced-match,balanced-match,1
discord.js,hydrabolt gawdl3y crawl lewdcario spaceeec,Apache-2.0,github.com/discordjs/discord.js,discord.js,1
oauth-sign,mikeal nylen simov,Apache-2.0,github.com/mikeal/oauth-sign,oauth-sign,1
@babel/helper-split-export-declaration,hzoo loganfsmyth danez existentialism nicolo-ribaudo jlhwung,MIT,github.com/babel/babel,babel,1
cacache,adam_baldwin claudiahdz darcyclarke isaacs ruyadorno,ISC,github.com/npm/cacache,cacache,1
sprintf-js,alexei,BSD-3-Clause,github.com/alexei/sprintf.js,sprintf.js,1
ini,isaacs,ISC,github.com/isaacs/ini,ini,1
http-signature,jesse_b isaacdavis bahamas10 chudley bahamat michael.hicks wyatt kusor kkantor trentm todd.whiteman pfmooney mcavage arekinath melloc,MIT,github.com/joyent/node-http-signature,node-http-signature,1
delayed-stream,felixge apechimp,MIT,github.com/felixge/node-delayed-stream,node-delayed-stream,1
convert-source-map,thlorenz,MIT,github.com/thlorenz/convert-source-map,convert-source-map,1
@babel/helper-function-name,hzoo loganfsmyth danez existentialism nicolo-ribaudo jlhwung,MIT,github.com/babel/babel,babel,1
depd,dougwilson,MIT,github.com/dougwilson/nodejs-depd,nodejs-depd,1
tunnel-agent,mikeal nylen fredkschott simov,Apache-2.0,github.com/mikeal/tunnel-agent,tunnel-agent,1
require-main-filename,bcoe,ISC,github.com/yargs/require-main-filename,require-main-filename,1
@babel/helper-get-function-arity,hzoo loganfsmyth danez existentialism nicolo-ribaudo jlhwung,MIT,github.com/babel/babel,babel,1
optionator,gkz,MIT,github.com/gkz/optionator,optionator,1
aws-sign2,mikeal,Apache-2.0,github.com/mikeal/aws-sign,aws-sign,1
performance-now,meryn,MIT,github.com/braveg1rl/performance-now,performance-now,1
domutils,feedic,BSD-2-Clause,github.com/fb55/domutils,domutils,1
is-callable,ljharb,MIT,github.com/ljharb/is-callable,is-callable,1
is-typedarray,hughsk,MIT,github.com/hughsk/is-typedarray,is-typedarray,1
has-symbols,ljharb,MIT,github.com/inspect-js/has-symbols,has-symbols,1
is-regex,ljharb,MIT,github.com/inspect-js/is-regex,is-regex,1
ansi-colors,doowb jonschlinkert,MIT,github.com/doowb/ansi-colors,ansi-colors,1
tweetnacl,dchest,Unlicense,github.com/dchest/tweetnacl-js,tweetnacl-js,1
colors,dabh marak,MIT,github.com/Marak/colors.js,colors.js,1
asn1,arekinath mcavage melloc pfmooney,MIT,github.com/joyent/node-asn1,node-asn1,1
is-plain-object,stevenvachon trysound jonschlinkert,MIT,github.com/jonschlinkert/is-plain-object,is-plain-object,1
caseless,mikeal nylen simov,Apache-2.0,github.com/mikeal/caseless,caseless,1
type-check,gkz,MIT,github.com/gkz/type-check,type-check,1
tmp,raszi,MIT,github.com/raszi/node-tmp,node-tmp,1
signal-exit,bcoe isaacs,ISC,github.com/tapjs/signal-exit,signal-exit,1
agent-base,tootallnate,MIT,github.com/TooTallNate/node-agent-base,node-agent-base,1
write-file-atomic,adam_baldwin ahmadnassri claudiahdz darcyclarke isaacs mikemimik ruyadorno,ISC,github.com/npm/write-file-atomic,write-file-atomic,1
sshpk,arekinath dap jclulow melloc,MIT,github.com/joyent/node-sshpk,node-sshpk,1
json-stringify-safe,isaacs moll,ISC,github.com/isaacs/json-stringify-safe,json-stringify-safe,1
raw-body,dougwilson jongleberry,MIT,github.com/stream-utils/raw-body,raw-body,1
levn,gkz,MIT,github.com/gkz/levn,levn,1
har-schema,esp,ISC,github.com/ahmadnassri/har-schema,har-schema,1
prelude-ls,gkz,MIT,github.com/gkz/prelude-ls,prelude-ls,1
jsbn,andyperlitch,MIT,github.com/andyperlitch/jsbn,jsbn,1
sax,isaacs,ISC,github.com/isaacs/sax-js,sax-js,1
mimic-response,sindresorhus,MIT,github.com/sindresorhus/mimic-response,mimic-response,1
forever-agent,mikeal nylen simov,Apache-2.0,github.com/mikeal/forever-agent,forever-agent,1
brace-expansion,juliangruber isaacs,MIT,github.com/juliangruber/brace-expansion,brace-expansion,1
electron-to-chromium,kilianvalkhof,ISC,github.com/kilian/electron-to-chromium,electron-to-chromium,1
bcrypt-pbkdf,arekinath dap jclulow trentm,BSD-3-Clause,github.com/joyent/node-bcrypt-pbkdf,node-bcrypt-pbkdf,1
verror,dap,MIT,github.com/davepacheco/node-verror,node-verror,1
ecc-jsbn,aduh95 quartzjer rynomad,MIT,github.com/quartzjer/ecc-jsbn,ecc-jsbn,1
jest-worker,scotthovestadt rubennorte simenb cpojer fb davidzilburg,MIT,github.com/facebook/jest,jest,1
json-schema,kriszyp,(AFL-2.,github.com/kriszyp/json-schema,json-schema,1
component-emitter,amasad anthonyshort blakeembrey calvinfo clintwood coreh cristiandouce defunctzombie dfcreative dominicbarnes forbeslindesay hughsk ianstormtaylor jonathanong jongleberry juliangruber kelonye mattmueller nami-doc queckezz rauchg retrofox stagas stephenmathieson swatinem thehydroimpulse timaschew timoxley tjholowaychuk tootallnate trevorgerhardt yields,MIT,github.com/component/emitter,emitter,1
isstream,rvagg,MIT,github.com/rvagg/isstream,isstream,1
dashdash,trentm,MIT,github.com/trentm/node-dashdash,node-dashdash,1
array-union,sindresorhus,MIT,github.com/sindresorhus/array-union,array-union,1
has,tarruda,MIT,github.com/tarruda/has,has,1
jsprim,dap,MIT,github.com/joyent/node-jsprim,node-jsprim,1
statuses,dougwilson jongleberry,MIT,github.com/jshttp/statuses,statuses,1
decompress-response,sindresorhus,MIT,github.com/sindresorhus/decompress-response,decompress-response,1
memory-fs,sokra,MIT,github.com/webpack/memory-fs,memory-fs,1
getpass,arekinath,MIT,github.com/arekinath/node-getpass,node-getpass,1
@jest/types,simenb davidzilburg scotthovestadt aaronabramov fb cpojer rubennorte,MIT,github.com/facebook/jest,jest,1
function-bind,raynos ljharb,MIT,github.com/Raynos/function-bind,function-bind,1
caniuse-lite,beneb ai caniuse-lite,CC-BY-4.0,github.com/ben-eb/caniuse-lite,caniuse-lite,1
webidl-conversions,domenic joris-van-der-wel sebmaster timothygu tmpvar zirro,BSD-2-Clause,github.com/jsdom/webidl-conversions,webidl-conversions,1
pretty-format,scotthovestadt rubennorte simenb cpojer fb aaronabramov davidzilburg,MIT,github.com/facebook/jest,jest,1
concat-map,substack,MIT,github.com/substack/node-concat-map,node-concat-map,1
ssri,gar isaacs darcyclarke ruyadorno nlf,ISC,github.com/npm/ssri,ssri,1
argparse,vitaly,Python-2.0,github.com/nodeca/argparse,argparse,1
path-is-absolute,sindresorhus,MIT,github.com/sindresorhus/path-is-absolute,path-is-absolute,1
inflight,iarna isaacs othiym23 zkat,ISC,github.com/npm/inflight,inflight,1
object.assign,ljharb,MIT,github.com/ljharb/object.assign,object.assign,1
fs.realpath,isaacs,ISC,github.com/isaacs/fs.realpath,fs.realpath,1
decamelize,sindresorhus,MIT,github.com/sindresorhus/decamelize,decamelize,1
terser-webpack-plugin,sokra thelarkinn evilebottnawi,MIT,github.com/webpack-contrib/terser-webpack-plugin,terser-webpack-plugin,1
react-is,sebmarkbage gaearon acdlite brianvaughn fb trueadm sophiebits lunaruan,MIT,github.com/facebook/react,react,1
@babel/helper-replace-supers,hzoo loganfsmyth danez existentialism nicolo-ribaudo jlhwung,MIT,github.com/babel/babel,babel,1
node-fetch,akepinski bitinn endless timothygu,MIT,github.com/bitinn/node-fetch,node-fetch,1
arr-diff,doowb jonschlinkert paulmillr,MIT,github.com/jonschlinkert/arr-diff,arr-diff,1
eventemitter3,3rdeden lpinca v1,MIT,github.com/primus/eventemitter3,eventemitter3,1
normalize-package-data,gar isaacs darcyclarke ruyadorno nlf,BSD-2-Clause,github.com/npm/normalize-package-data,normalize-package-data,1
source-map-resolve,lydell,MIT,github.com/lydell/source-map-resolve,source-map-resolve,1
@babel/helper-member-expression-to-functions,hzoo loganfsmyth danez existentialism nicolo-ribaudo jlhwung,MIT,github.com/babel/babel,babel,1
decode-uri-component,samverschueren,MIT,github.com/samverschueren/decode-uri-component,decode-uri-component,1
esutils,constellation michaelficarra,BSD-2-Clause,github.com/estools/esutils,esutils,1
tar,gar isaacs darcyclarke ruyadorno nlf,ISC,github.com/npm/node-tar,node-tar,1
object-inspect,ljharb substack emilbayes,MIT,github.com/inspect-js/object-inspect,object-inspect,1
is-path-inside,sindresorhus,MIT,github.com/sindresorhus/is-path-inside,is-path-inside,1
serialize-javascript,okuryu ericf redonkulus,BSD-3-Clause,github.com/yahoo/serialize-javascript,serialize-javascript,1
@babel/helper-module-imports,hzoo loganfsmyth danez existentialism nicolo-ribaudo jlhwung,MIT,github.com/babel/babel,babel,1
is-obj,sindresorhus,MIT,github.com/sindresorhus/is-obj,is-obj,1
prepend-http,sindresorhus,MIT,github.com/sindresorhus/prepend-http,prepend-http,1
p-cancelable,sindresorhus,MIT,github.com/sindresorhus/p-cancelable,p-cancelable,1
which-module,nexdrew,ISC,github.com/nexdrew/which-module,which-module,1
define-properties,ljharb,MIT,github.com/ljharb/define-properties,define-properties,1
for-in,jonschlinkert doowb,MIT,github.com/jonschlinkert/for-in,for-in,1
log-symbols,sindresorhus,MIT,github.com/sindresorhus/log-symbols,log-symbols,1
http-cache-semantics,kornel,BSD-2-Clause,github.com/kornelski/http-cache-semantics,http-cache-semantics,1
is-plain-obj,sindresorhus,MIT,github.com/sindresorhus/is-plain-obj,is-plain-obj,1
@babel/helpers,hzoo loganfsmyth danez existentialism nicolo-ribaudo jlhwung,MIT,github.com/babel/babel,babel,1
emojis-list,kikobeats,MIT,github.com/kikobeats/emojis-list,emojis-list,1
buffer-from,linusu,MIT,github.com/LinusU/buffer-from,buffer-from,1
mute-stream,iarna isaacs othiym23 zkat,ISC,github.com/isaacs/mute-stream,mute-stream,1
extglob,danez jonschlinkert,MIT,github.com/micromatch/extglob,extglob,1
@babel/helper-module-transforms,hzoo loganfsmyth danez existentialism nicolo-ribaudo jlhwung,MIT,github.com/babel/babel,babel,1
through,dominictarr,MIT,github.com/dominictarr/through,through,1
expand-brackets,danez doowb es128 jonschlinkert,MIT,github.com/micromatch/expand-brackets,expand-brackets,1
dir-glob,kevva sindresorhus,MIT,github.com/kevva/dir-glob,dir-glob,1
array-unique,jonschlinkert doowb,MIT,github.com/jonschlinkert/array-unique,array-unique,1
events,gozala goto-bus-stop defunctzombie,MIT,github.com/Gozala/events,events,1
cssom,domenic nv,MIT,github.com/NV/CSSOM,CSSOM,1
isexe,isaacs,ISC,github.com/isaacs/isexe,isexe,1
